1723 1 15.8283 8.78986 9.91848
1724 1 18.6415 10.4839 9.95063
1725 1 21.4624 12.1649 9.97301
1726 1 24.289 13.8362 9.9874
1727 1 27.1198 15.5003 9.996
1728 1 29.9536 17.1595 10.0013
1729 1 32.7894 18.8152 10.0047
1730 1 35.6268 20.4681 10.007
1731 1 38.4654 22.1192 10.0088
1732 1 41.3047 23.7691 10.0103
1733 1 44.1446 25.4178 10.0115
1734 1 46.985 27.0657 10.0125
1735 1 49.8259 28.713 10.0133
1736 1 52.6671 30.3597 10.014
1737 1 55.5087 32.0059 10.0145
1738 1 58.3505 33.6517 10.0151
1739 1 61.1925 35.2974 10.0155
1740 1 64.0348 36.9425 10.0157
1741 1 66.8774 38.5871 10.0159
1742 1 69.72 40.2316 10.0161
1743 1 72.5627 41.8759 10.0163
1821 1 7.58508 0.324746 9.76977
1822 1 10.3619 2.07371 9.81236
1823 1 13.1455 3.80631 9.85944
1824 1 15.9376 5.52043 9.90303
1825 1 18.7387 7.21737 9.9385
1826 1 21.5478 8.89991 9.96461
1827 1 24.3638 10.5714 9.98254
1828 1 27.1851 12.2348 9.99403
1829 1 30.0105 13.8928 10.0012
1830 1 32.8391 15.5468 10.0058
1831 1 35.6702 17.1982 10.0087
1832 1 38.5032 18.8478 10.0106
1833 1 41.3378 20.4961 10.0119
1834 1 44.1736 22.1435 10.0129
1835 1 47.0104 23.7901 10.0138
1836 1 49.8481 25.4363 10.0145
1837 1 52.6865 27.082 10.0151
1838 1 55.5257 28.7273 10.0156
1839 1 58.3654 30.3723 10.0162
1840 1 61.2055 32.0173 10.0165
1841 1 64.046 33.6618 10.0167
1842 1 66.887 35.306 10.0169
1843 1 69.7285 36.95 10.0171
1844 1 72.5702 38.5939 10.0171
1845 1 75.4121 40.2377 10.0171
1846 1 78.2543 41.8812 10.0171
1922 1 13.2737 0.525204 9.85337
1923 1 16.0567 2.24334 9.89354
1924 1 18.8473 3.94362 9.92805
1925 1 21.6455 5.62848 9.95471
1926 1 24.4508 7.30107 9.97402
1927 1 27.2622 8.96483 9.98744
1928 1 30.0786 10.6223 9.99658
1929 1 32.8991 12.2756 10.0027
1930 1 35.7229 13.9259 10.0067
1931 1 38.5496 15.5743 10.0094
1932 1 41.3785 17.2215 10.0112
1933 1 44.2094 18.8677 10.0125
1934 1 47.0419 20.5134 10.0136
1935 1 49.8758 22.1586 10.0145
1936 1 52.7108 23.8035 10.0152
1937 1 55.547 25.4481 10.0159
1938 1 58.384 27.0924 10.0165
1939 1 61.2218 28.7367 10.017
1940 1 64.0603 30.3807 10.0173
1941 1 66.8994 32.0245 10.0176
1942 1 69.7392 33.6681 10.0178
1943 1 72.5795 35.3117 10.0178
1944 1 75.4203 36.9551 10.0177
1945 1 78.2614 38.5984 10.0177
1946 1 81.1029 40.2414 10.0176
1947 1 83.9446 41.8845 10.0173
2020 1 18.9628 0.662252 9.92367
2021 1 21.7523 2.35013 9.94753
2022 1 24.5484 4.02478 9.96533
2023 1 27.3505 5.68973 9.97846
2024 1 30.1579 7.34778 9.98816
2025 1 32.9701 9.00102 9.99546
2026 1 35.7863 10.6511 10.0007
2027 1 38.6059 12.2987 10.0044
2028 1 41.4284 13.9451 10.0073
2029 1 44.2534 15.5907 10.0094
2030 1 47.0809 17.2355 10.0111
2031 1 49.9103 18.88 10.0124
2032 1 52.7413 20.5241 10.0136
2033 1 55.5737 22.1681 10.0147
2034 1 58.4075 23.812 10.0157
2035 1 61.2425 25.4557 10.0165
2036 1 64.0785 27.0992 10.0171
2037 1 66.9154 28.7426 10.0176
2038 1 69.7531 30.386 10.018
2039 1 72.5916 32.0293 10.0182
2040 1 75.4307 33.6724 10.0182
2041 1 78.2705 35.3154 10.0181
2042 1 81.1108 36.9582 10.018
2043 1 83.9515 38.6011 10.0178
2044 1 86.7926 40.2441 10.0175
2115 1 24.6525 0.74222 9.96035
2116 1 27.4473 2.40923 9.97067
2117 1 30.2471 4.06864 9.97893
2118 1 33.0514 5.72274 9.98585
2119 1 35.8602 7.37311 9.99162
2120 1 38.6726 9.02087 9.99629
2121 1 41.4884 10.6669 10
2122 1 44.3073 12.312 10.0031
2123 1 47.1289 13.9564 10.0056
2124 1 49.9531 15.6003 10.0078
2125 1 52.7793 17.244 10.0098
2126 1 55.6074 18.8875 10.0116
2127 1 58.4373 20.5309 10.0133
2128 1 61.2686 22.1742 10.0146
2129 1 64.1014 23.8173 10.0158
2130 1 66.9355 25.4604 10.0167
2131 1 69.7708 27.1034 10.0175
2132 1 72.607 28.7465 10.018
2133 1 75.4442 30.3894 10.0182
2134 1 78.2822 32.0322 10.0183
2135 1 81.121 33.6749 10.0182
2136 1 83.9604 35.3176 10.018
2207 1 30.3423 0.784816 9.97232
2208 1 33.1407 2.44045 9.97703
2209 1 35.9431 4.0919 9.98181
2210 1 38.7492 5.74035 9.98635
2211 1 41.5587 7.38668 9.99055
2212 1 44.3712 9.03169 9.9943
2213 1 47.1868 10.6759 9.99764
2214 1 50.0052 12.3197 10.0007
2215 1 52.8263 13.9631 10.0035
2216 1 55.6495 15.6062 10.0062
